course,score,n,rank
ACC 6020,5.000000,5,1
ACC 679R,4.576923,26,2
ACC 6600,4.272727,11,3
ACC 6410,4.250000,4,4
ACC 6150,4.142857,28,5
ACC 6250,3.833333,24,6
ACC 6350,3.692308,13,7
ACC 6140,3.684211,19,8
